,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc_l,pur_acc_s,pur_acc_o,pur_acc_list_l,pur_acc_list_s,pur_acc_list_o,count_att,count_diff
22,23,100,452.215503,41.111458,0.815613,94.0,4.0,35.0,35.0,35.0,[37. 36. 36. 36. 36. 36. 36. 35. 35. 35.],[37. 36. 37. 36. 36. 36. 36. 35. 35. 35.],[37. 37. 37. 37. 36. 36. 36. 35. 35. 35.],64,1
23,24,100,457.970375,41.24104,0.815739,94.0,5.0,34.0,34.0,35.0,[40. 37. 37. 36. 35. 33. 33. 33. 34. 34.],[40. 37. 36. 36. 36. 33. 35. 34. 34. 34.],[40. 37. 36. 36. 34. 33. 33. 34. 34. 35.],66,0
24,25,100,452.370237,41.202063,0.816406,97.0,6.0,34.0,34.0,34.0,[33. 32. 33. 32. 33. 30. 31. 32. 34. 34.],[33. 32. 34. 33. 33. 33. 34. 33. 35. 34.],[33. 31. 35. 34. 34. 34. 35. 35. 36. 34.],66,0
25,26,100,446.83572,41.080417,0.815897,95.0,4.0,25.0,27.0,26.0,[28. 27. 28. 27. 26. 25. 25. 24. 25. 25.],[28. 27. 27. 28. 28. 28. 27. 25. 25. 27.],[28. 29. 27. 26. 27. 26. 26. 25. 26. 26.],75,0
26,27,100,446.715819,41.081465,0.815332,96.0,4.0,35.0,37.0,36.0,[35. 38. 40. 39. 37. 36. 37. 37. 37. 35.],[35. 38. 38. 37. 38. 36. 37. 36. 37. 37.],[35. 37. 38. 35. 37. 35. 35. 37. 36. 36.],65,0
27,28,100,446.562095,41.454605,0.814937,98.0,7.0,30.0,30.0,31.0,[33. 31. 30. 31. 31. 31. 30. 30. 30. 30.],[33. 30. 31. 33. 32. 32. 31. 30. 31. 30.],[33. 32. 32. 32. 32. 31. 31. 32. 32. 31.],69,1
28,29,100,448.37058,41.088724,0.816262,95.0,4.0,35.0,33.0,33.0,[36. 37. 35. 38. 36. 36. 36. 34. 35. 35.],[36. 39. 34. 38. 36. 36. 35. 33. 34. 33.],[36. 36. 35. 35. 35. 33. 33. 33. 33. 33.],65,0
29,30,100,447.416537,41.088673,0.816364,93.0,3.0,38.0,38.0,37.0,[39. 37. 38. 39. 38. 38. 36. 35. 38. 38.],[39. 38. 38. 38. 41. 38. 37. 36. 37. 38.],[39. 36. 38. 37. 40. 35. 37. 37. 36. 37.],61,1
30,31,100,456.706933,41.0962,0.815741,97.0,5.0,36.0,37.0,37.0,[33. 34. 34. 35. 36. 35. 36. 35. 37. 36.],[33. 34. 34. 36. 37. 36. 36. 36. 37. 37.],[33. 36. 35. 36. 36. 36. 36. 36. 36. 37.],63,1
31,32,100,446.71031,41.066688,0.815156,94.0,3.0,38.0,38.0,38.0,[38. 35. 36. 36. 38. 37. 37. 38. 38. 38.],[38. 35. 37. 37. 38. 38. 38. 38. 38. 38.],[38. 39. 38. 38. 38. 39. 38. 38. 39. 38.],60,2
32,33,100,449.913083,41.092375,0.815935,95.0,2.0,36.0,35.0,35.0,[39. 38. 40. 36. 37. 37. 36. 36. 37. 36.],[39. 38. 39. 36. 36. 35. 36. 35. 37. 35.],[39. 35. 38. 35. 37. 35. 36. 35. 36. 35.],63,1
33,34,100,446.780524,41.08746,0.815705,97.0,4.0,34.0,35.0,35.0,[32. 32. 31. 31. 32. 33. 34. 34. 33. 34.],[32. 32. 31. 32. 33. 34. 35. 35. 34. 35.],[32. 33. 31. 33. 34. 34. 35. 35. 35. 35.],66,0
34,35,100,447.842728,41.213742,0.816334,96.0,7.0,37.0,37.0,37.0,[36. 34. 35. 34. 35. 35. 35. 37. 37. 37.],[36. 34. 34. 32. 34. 35. 36. 36. 37. 37.],[36. 35. 32. 32. 32. 32. 33. 33. 35. 37.],61,2
35,36,100,448.251034,41.888564,0.815997,96.0,6.0,37.0,37.0,36.0,[36. 38. 35. 37. 37. 36. 36. 36. 36. 37.],[36. 39. 35. 38. 37. 36. 36. 36. 37. 37.],[36. 37. 38. 36. 36. 36. 35. 36. 37. 36.],63,0
36,37,100,447.972892,41.212721,0.816241,95.0,3.0,30.0,31.0,30.0,[30. 32. 32. 31. 31. 30. 30. 31. 31. 30.],[30. 32. 34. 32. 31. 32. 31. 30. 31. 31.],[30. 31. 32. 28. 30. 29. 30. 28. 31. 30.],69,1
37,38,100,449.306597,41.20957,0.818342,92.0,2.0,30.0,30.0,30.0,[31. 28. 30. 30. 29. 30. 29. 30. 30. 30.],[31. 28. 31. 29. 29. 29. 30. 30. 30. 30.],[31. 30. 31. 27. 28. 30. 29. 31. 30. 30.],69,1
